epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.968,1.23475,3.17044,1.78937,0.00624,0.80789,0.12474,0.06299,2.13597,4.68653,2.73526,0.0003875,0.0003875,0.0003875
2,386.142,1.29352,2.71029,1.80939,0.26337,0.28052,0.23001,0.09958,2.06069,3.78804,3.00693,0.000777105,0.000777105,0.000777105
3,598.686,1.37172,2.62249,1.85934,0.6444,0.04627,0.05523,0.0168,3.21425,5.40504,3.75275,0.00115615,0.00115615,0.00115615
4,785.262,1.41177,2.50951,1.8789,0.27682,0.04447,0.00998,0.00209,3.66024,7.38381,4.46205,0.0012005,0.0012005,0.0012005
5,972.219,1.38312,2.5135,1.85297,0.17224,0.42101,0.16521,0.05471,2.81198,5.64704,4.04527,0.001184,0.001184,0.001184
6,1160.17,1.35717,2.43053,1.83348,0.13091,0.53274,0.1765,0.07288,2.13818,8.16837,3.19505,0.0011675,0.0011675,0.0011675
7,1383.63,1.31149,2.32064,1.80248,0.32293,0.41837,0.26851,0.12953,2.09627,3.6738,2.85047,0.001151,0.001151,0.001151
8,1603.5,1.35428,2.30731,1.83207,0.12989,0.44292,0.12836,0.05196,2.15878,4.12735,3.07718,0.0011345,0.0011345,0.0011345
9,1840.54,1.32278,2.23431,1.82,0.70511,0.27284,0.32459,0.1123,2.18228,3.05818,3.15822,0.001118,0.001118,0.001118
10,2066.03,1.33554,2.22517,1.83115,0.16734,0.2455,0.12833,0.04631,2.11542,3.05186,2.86632,0.0011015,0.0011015,0.0011015
11,2281.93,1.26843,2.20526,1.75505,0.33085,0.32522,0.29378,0.09916,2.5864,2.88043,3.14851,0.001085,0.001085,0.001085
12,2494.05,1.31751,2.1872,1.8187,0.42472,0.33017,0.32718,0.14257,2.42421,2.66309,3.06477,0.0010685,0.0010685,0.0010685
13,2728.3,1.28351,2.10759,1.77759,0.44992,0.45368,0.36692,0.20439,1.96203,2.52277,2.62224,0.001052,0.001052,0.001052
14,2945.19,1.28625,2.11555,1.77512,0.29349,0.45819,0.2961,0.17017,1.85476,2.80894,2.68108,0.0010355,0.0010355,0.0010355
15,3172.39,1.28301,2.09205,1.78754,0.31769,0.41971,0.34312,0.19796,1.84565,2.59712,2.65089,0.001019,0.001019,0.001019
16,3426.41,1.30218,2.11276,1.7897,0.67776,0.31736,0.34161,0.17743,2.02711,2.85525,2.90069,0.0010025,0.0010025,0.0010025
17,3668.34,1.2674,2.0462,1.76471,0.56728,0.43144,0.42393,0.24353,1.83006,2.3516,2.61747,0.000986,0.000986,0.000986
18,3941.99,1.22977,2.0501,1.73536,0.37413,0.40942,0.34364,0.20243,1.85285,2.45873,2.70193,0.0009695,0.0009695,0.0009695
19,4190.25,1.30768,2.01434,1.77605,0.45084,0.49716,0.40275,0.19451,2.28936,2.44311,2.85532,0.000953,0.000953,0.000953
20,4433.29,1.25564,1.98665,1.76121,0.47582,0.46714,0.35741,0.19821,1.91938,2.57041,2.70137,0.0009365,0.0009365,0.0009365
21,4676.77,1.24081,1.95674,1.74433,0.30808,0.41398,0.29797,0.18055,1.90812,2.81593,2.70651,0.00092,0.00092,0.00092
22,4925.44,1.21622,1.97072,1.73994,0.46628,0.50513,0.44249,0.26661,1.82856,2.10101,2.53125,0.0009035,0.0009035,0.0009035
23,5171.05,1.23034,1.93359,1.73509,0.27826,0.44151,0.27098,0.15886,1.88382,2.49482,2.69932,0.000887,0.000887,0.000887
24,5413.83,1.19512,1.90871,1.71372,0.37278,0.50408,0.38198,0.2253,1.82475,2.23124,2.59837,0.0008705,0.0008705,0.0008705
25,5646.1,1.20879,1.8851,1.71806,0.54177,0.48392,0.4412,0.26091,1.78545,2.12603,2.56203,0.000854,0.000854,0.000854
26,5894.61,1.21998,1.94022,1.72471,0.60908,0.54099,0.45858,0.28077,1.79774,2.10385,2.51123,0.0008375,0.0008375,0.0008375
27,6126.29,1.17214,1.88853,1.69179,0.49432,0.48894,0.44762,0.25807,1.80759,2.07709,2.55782,0.000821,0.000821,0.000821
28,6361.44,1.1822,1.79282,1.68331,0.5935,0.51319,0.49689,0.26465,2.05625,2.01834,2.86473,0.0008045,0.0008045,0.0008045
29,6621.09,1.20043,1.84916,1.70862,0.41253,0.49337,0.42635,0.25967,1.8207,2.2331,2.57411,0.000788,0.000788,0.000788
30,6877.88,1.15102,1.8238,1.69261,0.50686,0.4933,0.44801,0.2696,1.83899,2.03037,2.5905,0.0007715,0.0007715,0.0007715
