epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,7131.18,1.21418,1.8578,1.70101,0.51302,0.48908,0.4435,0.25823,1.87599,2.15751,2.54501,0.000755,0.000755,0.000755
32,7369.11,1.15119,1.78649,1.65566,0.5411,0.47574,0.45531,0.25314,1.9091,2.20139,2.61726,0.0007385,0.0007385,0.0007385
33,7617.69,1.1463,1.77997,1.67436,0.51014,0.48265,0.46175,0.26813,1.81852,2.06149,2.52972,0.000722,0.000722,0.000722
34,7873.71,1.16354,1.76683,1.66654,0.46545,0.49837,0.44141,0.23721,1.919,2.20843,2.58091,0.0007055,0.0007055,0.0007055
35,8108.64,1.14833,1.74743,1.68434,0.54194,0.51929,0.4656,0.2711,1.84836,2.01717,2.68357,0.000689,0.000689,0.000689
36,8356.46,1.15658,1.7752,1.67856,0.52568,0.52789,0.47416,0.28056,1.85724,2.07753,2.58717,0.0006725,0.0006725,0.0006725
37,8602.81,1.13647,1.75933,1.64646,0.61553,0.52913,0.50581,0.29846,1.87129,1.99001,2.59832,0.000656,0.000656,0.000656
38,8849.64,1.14984,1.72081,1.66812,0.55396,0.4692,0.45829,0.28211,1.81464,2.044,2.56457,0.0006395,0.0006395,0.0006395
39,9090.69,1.1455,1.76567,1.65403,0.48567,0.54248,0.47524,0.25735,1.92357,2.12102,2.64272,0.000623,0.000623,0.000623
40,9333.88,1.10547,1.69318,1.64019,0.57251,0.52755,0.51241,0.30751,1.81972,1.98275,2.47022,0.0006065,0.0006065,0.0006065
41,9574.04,1.11797,1.68048,1.64056,0.62621,0.53442,0.51824,0.29953,1.86953,2.05344,2.56387,0.00059,0.00059,0.00059
42,9837.52,1.05363,1.6826,1.59026,0.54677,0.56515,0.46828,0.28507,1.77214,1.83724,2.56728,0.0005735,0.0005735,0.0005735
43,10095,1.07605,1.67327,1.60583,0.49715,0.44925,0.4409,0.25161,1.84805,2.15611,2.54424,0.000557,0.000557,0.000557
44,10359.7,1.10781,1.66073,1.63852,0.56661,0.52718,0.49606,0.28246,1.87811,1.94661,2.63615,0.0005405,0.0005405,0.0005405
45,10621.5,1.1053,1.68678,1.61603,0.48288,0.5003,0.44919,0.23826,1.95321,2.07619,2.61537,0.000524,0.000524,0.000524
46,10884.8,1.07305,1.57965,1.61214,0.47281,0.46691,0.46744,0.23605,1.9931,2.14689,2.61138,0.0005075,0.0005075,0.0005075
47,11142.8,1.08348,1.60551,1.61239,0.52273,0.49083,0.46748,0.26875,1.88339,1.96743,2.58094,0.000491,0.000491,0.000491
48,11397.2,1.04565,1.56995,1.58528,0.49792,0.5343,0.46524,0.26139,1.94203,2.0536,2.65376,0.0004745,0.0004745,0.0004745
49,11644.1,1.05779,1.55547,1.58766,0.49962,0.52848,0.46924,0.26286,1.97677,1.97619,2.73451,0.000458,0.000458,0.000458
50,11900.3,1.06421,1.49495,1.59331,0.59327,0.55302,0.51111,0.28485,1.95842,1.95877,2.65017,0.0004415,0.0004415,0.0004415
51,12156,1.07649,1.5674,1.59034,0.63826,0.50838,0.51943,0.2703,1.98602,2.04511,2.7657,0.000425,0.000425,0.000425
52,12406.3,1.0242,1.50946,1.56061,0.61285,0.52643,0.50738,0.29331,1.75211,1.91896,2.529,0.0004085,0.0004085,0.0004085
53,12634.9,1.00538,1.46864,1.55773,0.58171,0.53698,0.50904,0.28398,1.84396,1.94354,2.5977,0.000392,0.000392,0.000392
54,12839.3,1.03454,1.48243,1.55964,0.54347,0.5268,0.45178,0.26966,1.83164,2.00343,2.67335,0.0003755,0.0003755,0.0003755
55,13046.5,0.98034,1.46089,1.53562,0.56848,0.51596,0.48022,0.26584,1.95582,1.98965,2.66535,0.000359,0.000359,0.000359
56,13249.7,1.00148,1.40596,1.55656,0.55233,0.51468,0.50817,0.2901,1.84014,1.9712,2.61561,0.0003425,0.0003425,0.0003425
57,13454.7,1.00718,1.41461,1.55963,0.56146,0.504,0.48745,0.28265,1.83823,1.98525,2.54698,0.000326,0.000326,0.000326
58,13652.9,1.00233,1.40895,1.55101,0.58803,0.4982,0.46576,0.26058,1.83296,2.04007,2.58304,0.0003095,0.0003095,0.0003095
59,13854.4,1.00159,1.43821,1.54217,0.62427,0.45724,0.45419,0.24925,1.92339,2.08759,2.66458,0.000293,0.000293,0.000293
60,14056.3,0.99986,1.41506,1.54347,0.5534,0.52652,0.47718,0.25185,1.99604,2.09134,2.6842,0.0002765,0.0002765,0.0002765
61,14257.6,0.96495,1.36359,1.50401,0.51275,0.57827,0.48667,0.27581,1.87892,2.0828,2.58391,0.00026,0.00026,0.00026
62,14462,0.96764,1.33934,1.51223,0.58874,0.52515,0.48915,0.27135,1.90427,2.05381,2.61428,0.0002435,0.0002435,0.0002435
63,14667.8,0.96551,1.38211,1.51785,0.58195,0.53153,0.47595,0.28081,1.86382,2.02266,2.62295,0.000227,0.000227,0.000227
64,14868.8,0.97909,1.31271,1.51586,0.53641,0.5344,0.48685,0.27306,1.94037,2.08704,2.66829,0.0002105,0.0002105,0.0002105
65,15071.8,0.92927,1.32083,1.481,0.59116,0.56209,0.50627,0.2836,1.89078,2.00101,2.67431,0.000194,0.000194,0.000194
66,15275.3,1.06591,1.43869,1.81713,0.58198,0.53198,0.47465,0.29362,1.7711,1.97202,2.62927,0.0001775,0.0001775,0.0001775
67,15473.6,0.96757,1.26625,1.75933,0.60607,0.50505,0.46313,0.26263,1.82448,2.07728,2.58251,0.000161,0.000161,0.000161
68,15671.9,0.9789,1.20848,1.72453,0.58208,0.54045,0.47931,0.2438,1.89341,2.11398,2.64845,0.0001445,0.0001445,0.0001445
69,15869.7,0.89478,1.11299,1.66954,0.60258,0.53237,0.4712,0.25326,1.90849,2.07113,2.64189,0.000128,0.000128,0.000128
70,16068.1,0.8917,1.1074,1.65392,0.63018,0.49393,0.49267,0.25278,1.96939,2.11002,2.70916,0.0001115,0.0001115,0.0001115
71,16272,0.90903,1.08253,1.66548,0.56736,0.51237,0.48006,0.24675,1.96011,2.06541,2.74755,9.5e-05,9.5e-05,9.5e-05
72,16469.6,0.88743,1.0813,1.63889,0.53381,0.51943,0.44401,0.23575,1.98872,2.08519,2.79199,7.85e-05,7.85e-05,7.85e-05
73,16664.1,0.88514,1.06611,1.64031,0.55734,0.50461,0.46303,0.23085,2.01132,2.12824,2.8124,6.2e-05,6.2e-05,6.2e-05
74,16863.9,0.87549,1.07113,1.63265,0.52766,0.5181,0.45324,0.23202,2.00716,2.13208,2.81759,4.55e-05,4.55e-05,4.55e-05
75,17064.2,0.88078,1.05484,1.6292,0.50191,0.55413,0.44339,0.23968,1.97973,2.13704,2.80912,2.9e-05,2.9e-05,2.9e-05
